Name,Rating,Current Price,Original Price,Discount,Features
ASUS Chromebook Intel Celeron Dual Core N4500,3.8,"₹15,990","₹32,990",51%,Intel Celeron Dual Core Processor4 GB LPDDR4X RAMChrome Operating System35.56 cm (14 Inch) Display1 Year Onsite Warranty
HP 14a Intel Celeron Dual Core N4500,3.7,"₹16,990","₹30,001",43%,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty
Lenovo V15 AMD Ryzen 3 Quad Core 7320U,4.2,"₹27,490","₹59,400",53%,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD100.63 cm (39.62 cm) Display1 Year Onsite Warranty
HP AMD Ryzen 3 Quad Core 5300U,4.2,"₹31,990","₹47,147",32%,"AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty"
ASUS Vivobook 15X (2023) Intel Core i3 13th Gen 1315U,4.2,"₹40,780","₹58,990",30%,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250,4.1,"₹25,990","₹37,188",30%,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty by OEM
DELL Inspiron 15 3520 Intel Core i5 12th Gen Core i5,4.1,"₹52,800","₹78,900",33%,"Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home & Student 2021, Microsoft Windows, 15 Months Macafee Antivirus1 Year Onsite Warranty"
CHUWI Intel Celeron Dual Core 10th Gen N4020,3.5,"₹13,990","₹34,990",60%,"Fan-less Design
(Low Power Consumption)4x faster than eMMCM.2 port for easy DIY upgradesLPDDR4 4GB RAMIntel 9th generation UHD GraphicsSupport 4K/60 Frames HDIntel Celeron Dual Core Processor (10th Gen)4 GB LPDDR4 RAM64 bit Windows 11 Operating System128 GB SSD29.46 cm (11.6 inch) DisplayOperating System Software1 Year Onsite Warranty"
HP 245G9 AMD Ryzen 3 Dual Core AMD Ryzen 3 3250U,4.2,"₹25,990","₹40,532",35%,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayNA1 Year Onsite Warranty
HP 255 G9 841W6pa AMD Ryzen 3 Dual Core,3.7,"₹26,990","₹35,796",24%,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMDOS Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Domestic Warrenty
ASUS Chromebook Intel Celeron Dual Core N4500,3.8,"₹19,990","₹32,990",39%,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
